,3-19-35-40,17-15-8-35,17-28-12,28-17-29-35,17-28-1-29,28-29-7-40,40-35-2-4-7,3-35-14-17,31-28-26-7-2,2-5-7-4-34,10-5-34-16,10-5-28-35,15-2-25-19,10-30-35-28,35-10-19-3,35-15-1-28-7,19-30-36-31,10-40-30-36,28-31-40-35,35-1-30-39,2-40-6-31-36,1-35-32-38,1-2-28-3-35,5-35-31-24,10-19-28-20,19-6-3-10-2,10-24-11-35,35-2-25-13,2-30-39-25,2-35-10-39,29-28-15-2,10-15-13-5,2-15-3-11-25,3-17-1-35-27,2-28-17-27,2-5-6-23-24,26-10-17-13,3-1-31-14-40,5-24-27-21,1-5-36-25-16,28-5-26-35,35-26-2-10,35-24-10-28,26-35-40-30,10-12-2-19,26-28-32-5,28-26-35-10
36-31-6-35,31-35-3-32,15-19-9-3-35,19-3-15-31,3-35-40-19,35-3-31-40,35-40-31-4,35-40-31-3-4,14-19-32-39,30-31-3-35,5-37-7-10-26,19-15-13-39,19-36-40-3-9,28-14-36-2,2-35-3-19-21,19-15-3-35,35-3-19-32,31-3-2-17-25,35-19-39-2,2-9-5-35-30,24-35-32-3,,35-19-32-5,3-24-10-15,29-21-3-36,19-9-35-3,35-21-24-38,35-9-24-7,35-13-39-18,3-19-15-2,35-2-25-22,2-3-19-15-4,24-2-13-30,28-24-26-2,35-40-3-12,10-3-4-37-28,24-1-3-35-28,24-9-39-28,31-3-15-2,35-33-2-18,35-3-26-30,23-25-3-12,2-26-3-19-16,3-15-35-28,2-3-19-35-16,35-25-1-19,32-28-35-3,32-19-28-26
19-1-24-32,35-32-2-19,14-19-32-35,14-17-32-35,14-17-24-35,14-17-4-35,14-24-13-10,28-4-37-35,3-30-13-24,1-19-35-14,2-5-19-32,19-2-6-35-28,2-6-10-35-28,19-10-13-28,10-19-6-26-4,19-10-3-24,19-10-24-3-5,35-25-19-17,30-35-12-9,35-19-12-28,28-32-35-3,19-35-32-1,,35-13-1-19,13-1-5-35-10,19-1-26-35,19-1-35-24,32-13-4-1-14,35-28-39-2-9,35-19-40-2,35-32-19-3,15-35-4-40-3,32-35-1-13-6,28-4-35-24,35-1-4-32-17,17-13-1-15,28-5-23-13,35-3-1-24-11,32-3-5-10-22,28-12-6-4-13,35-28-20-33,3-35-32-39,10-2-26-13,2-3-15-5-28,5-15-13-6,15-3-37-4-5,32-15-1-9-37,32-10-37-4-3
3-30-31-8,31-3-35-40,17-3-4-15-14,17-4-13-14,15-30-17-3-4,14-17-4-3-7,15-19-14-4-3,3-18-30-39,4-14-3-30-19,31-3-30-19,2-37-3-17-4,10-4-3-18-28,35-24-28-10,3-4-15-30-29,35-40-17-13,2-4-15-3-19,3-35-19-15,35-3-15-19,3-17-35-31,35-40-3-4-19,35-2-19-30,19-35-3-31,19-3-35-28,,4-12-17-34,3-14-28-15,3-4-31-19-15,3-4-19-15-32,14-9-3-4-1-2,35-24-18-28,19-15-4-33-3,15-19-3-28-4,1-4-14-7-2-24,25-10-1-13-3,35-30-40-27,2-27-17-1,28-2-1-24-25,31-30-2-24,2-22-32-3-4,35-13-18-31,3-35-1-25-28,3-2-15-28-4,2-25-19-3,1-3-15-4-2-25,2-15-19-28,25-1-37-4,32-4-18-28,37-4-28-32
28-35-40-8-6,35-4-31-6,14-12-10-24,17-28-24-10,10-17-30-12,18-10-5-30-4,30-1-29-36,35-5-10-12,35-5-29-3,24-3-10-6,28-24-10-1,3-15-19-28,24-15-18-38,28-19-13-25,14-15-9-18,18-35-5-3-19,12-18-28-35,28-18-38-25,3-37-10-1,35-28-3-40,1-30-19-24,36-37-21-39,2-13-35-28,28-10-3-13-4,,35-15-2-18,19-38-35-27,32-40-1-10-3,35-17-7-2-28,13-2-24-35,3-1-15-14-29,2-15-28-27,34-2-33-24,3-15-32-2-1,10-12-35-24,2-14-27-35,2-17-12-28,24-19-31-5,13-28-17-4,35-30-40-24,15-5-34-33,24-31-10-3,10-35-18-25,5-25-28-24,28-5-2-10-24,3-25-14-34,28-24-3-17,24-10-14-3
10-20-8-14,10-20-26-35,17-13-15-29,5-14-17-24,17-15-16-5,35-17-4-10-5,20-10-5-18,35-5-10-12,7-28-17-4,35-10-5-18,2-3-10-25,3-17-28-18,5-28-24-7,28-26-3-10-4,5-17-10-37,18-35-38-3-4,35-10-1-19,35-6-10-1,35-17-4-20,35-24-3-9-28,24-5-3-35-17,21-18-24-35,26-1-32-17,5-19-3-20-16,24-10-35-18,,5-18-35-19,24-28-32-2,9-31-14-18,1-35-21-18,35-24-14-39,28-35-40-13,17-10-28-2,10-25-4-26,35-10-3-14-4,17-24-32-1,2-28-26-9,25-12-13-11,17-10-4-28,35-18-1-34-3,10-35-4-19,26-25-24-18,10-2-24-30,10-3-24-5-4,28-21-6-10-2,10-37-4-5-2,37-10-18-32,25-26-32-28
8-15-28-19,19-7-6-31-18,3-4-13-17-7,4-13-7-25-17,15-17-16-5,17-14-7-38,7-5-28-4-18,28-25-32-1,4-3-24-19-28,7-25-15-18,2-10-24-25,21-35-34-14,17-31-35-34,3-35-14-28,19-17-2-36-4,35-19-3-4-37,35-19-4-2-12,19-4-37-34,2-25-4-13-12,28-35-17-26,10-6-14-12,35-7-31-34,19-24-5-13,1-13-19-4,28-35-37-2,10-18-7-4-32,,19-10-4-37-1,28-35-14-25,2-1-21-19-3,40-35-21-24,15-5-14-13,21-35-12-13,13-1-35-25,35-40-17-11,1-19-30-2,28-3-2-26-24,19-4-35-31,4-7-28-17-3,21-35-33-15,10-14-35-1,30-37-9-25-3,28-1-10-2,3-10-35-28,25-7-40-30,25-37-4-2-16,1-3-35-15-28,3-37-24-26
13-35-7-10,13-35-31-5,28-25-10-37,28-25-17-26,15-17-30-28,28-25-26-16,28-25-17-32,3-9-14-4-35-1,25-14-24-3-4,17-28-24-7,2-7-24-3,10-28-37-3-7,10-19-28-3-4,12-13-24-26,13-17-24-37,1-24-25-20,10-1-24-36,10-19-24-25,24-22-25-35,35-24-3-31,35-30-10-26,28-22-1-25,19-32-24-28,10-5-37-12,7-17-2-3-13,25-22-10-24,24-34-19-10,,2-37-3-10-25,7-1-13-21-35,7-10-31-27,24-5-25-9,2-24-37-4-1,7-1-3-10-5,13-24-10-26,2-10-17-13,26-24-25-1,10-28-24-7,32-3-17-7-5,10-24-11-3,25-29-28-40,25-17-37-1,5-24-35-10,5-10-13-24,6-25-13-24,10-6-25-2-3,28-32-1-10,37-4-32-10
31-9-3-22-13,31-9-14-39,17-3-14-9-1,3-17-14-35,3-14-17-25,17-3-9-14-1,3-14-35-1,13-4-3-15-18,4-35-28-2,31-9-14-35,3-10-23-31,10-1-35-19,10-4-1-13-24,3-1-14-31-39,3-14-17-4-1,19-28-4-35,19-23-28-4,28-23-25-24,3-14-9-2-23,3-35-26-40,23-25-2-10,35-12-2-3-13,35-2-9-40-17,17-15-31-3,35-31-2-9-13,35-28-19-25,3-15-9-31-35,10-23-2-3-26,,5-2-35-19-9,28-2-18-29,28-10-1-15-3,2-35-9-17-28,28-26-25-1,35-9-13-16,5-9-31-2-17-3,28-2-24-1,5-28-24-18,9-7-31-14-4-2,2-35-31-22,35-5-6-13-21,15-3-10-2,15-28-10-1-3,3-15-10-2,6-13-1-24-15,23-10-28-3-2,24-3-14-30,5-10-24-22
28-35-20-21,28-31-13-5-2,14-18-4-19,17-18-21-14,4-14-19-15,4-14-13-24,13-15-3-19,4-14-30-18,35-36-3-31,35-10-19-18,10-23-37-1,1-10-21-3,1-3-10-15-18,35-28-13-21,10-3-15-35,35-28-10-3,35-3-20-10,35-28-10-3-4,10-12-9-35,10-35-15-28,15-4-19-3-1,19-18-36-20,32-24-35-2-5,10-35-28-15,10-12-18-14,2-10-35-36,10-18-13-2,9-16-13-2-4,18-35-28-14,,21-23-33-1,18-35-10-13,2-35-16-19,25-10-13-26,2-35-40-3-4,18-28-1-23,28-10-2-17,15-28-23-35,17-7-10-5,2-30-37-38,30-13-31-5,2-18-15-25,10-2-36-7,10-2-1-19-25,21-28-35-6-2,10-23-37-1-4,24-10-28-25,28-10-37-4-3
35-30-31-15,40-35-31-9-1,15-17-40-24,17-4-35-40,4-17-12-3,3-4-1-35-5,17-30-14-2,4-14-30-18,1-35-4-3-7-24,1-3-24-35-39,10-7-32-4-3,15-3-12-21,21-16-17-14,3-35-29-31,28-35-15-29,35-6-12-26,35-24-19-3-4,3-35-18-4,1-17-30-27,35-40-17-5,40-4-35-14,35-24-1-7-5,19-35-32-24,35-28-25-2,34-35-24-15,10-25-9-23-5,10-3-35-12,4-7-10-32-21,14-31-13-15,1-24-21-13,,1-15-29-14,5-17-1-29-23,10-15-23-5-4,40-24-35-4,1-24-27-17,28-35-1-17,31-30-35-39,2-17-28-24,35-1-24-9-3,28-4-40-24,17-26-4-10,2-10-3-17-13,28-2-25-35,19-31-1-35-2,10-26-19-23,1-37-32-31,4-17-26-10
